주소,latitude,longitude
서울특별시 성동구 금호동2가 금호로 117,37.5537267,127.0205617
서울특별시 성동구 응봉동 고산자로4길 34,37.5541513,127.0363661
서울특별시 성동구 금호동4가 금호로 15,37.5451459,127.0243878
서울특별시 광진구 자양동 아차산로36길 13,37.5378234,127.0741049
서울특별시 성동구 행당동 행당로 82,37.5580603,127.0316639
서울특별시 노원구 공릉동 섬밭로 156,37.6246783,127.0706894
서울특별시 노원구 공릉동 공릉로27길 110,0.0,0.0
서울특별시 노원구 공릉동 공릉로 213,37.63087,127.07409
서울특별시 도봉구 도봉동 도봉로180길 6-23,37.68273,127.0499701
서울특별시 노원구 중계동 노원로22길 34,37.6475373,127.07523
서울특별시 도봉구 방학동 해등로 286-5,37.6578797,127.0247984
서울특별시 도봉구 도봉동 도봉산길 35,37.6873666,127.0428041
서울특별시 노원구 월계동 석계로13길 35,37.6209028,127.0617671
서울특별시 노원구 중계동 덕릉로76길 29,37.6546,127.07625
서울특별시 도봉구 창동 덕릉로60바길 21,37.6392811,127.0416576
서울특별시 노원구 공릉동 화랑로51길 17,37.62371255,127.08726322751892
서울특별시 서대문구 북가좌동 수색로 100,37.5774108,126.9026094
서울특별시 서대문구 북가좌동 거북골로14길 32,37.5794651,126.9128591
서울특별시 서대문구 홍제동 통일로 344,37.5841022,126.9495887
서울특별시 용산구 이촌동 이촌로64길 15,0.0,0.0
서울특별시 마포구 상수동 독막로20나길 22,37.5466686,126.9261764
